tweets,category
Some of the most beautiful women your eyes will ever see are Muslim. I disagree with the Burqa 100% ,2
"Of course #notall Muslims are taught all of this, but it is all sanctioned by the religion, unfortunately. So those of us who went to Islamic schools in the West, or grew up in one of the 50 Muslim majority countries, are taught this. Solidarity w Muslims who fight these edicts.",2
Why is JoeBiden's Director of Jewish Outreach publicly supporting a challenger to America's first practicing Muslim woman,1
On a Muslim dating app and I asked a guy what he values most in a relationship. He said “ability to compromise” ,2
"Haha that’s why muslim smell like shit, stop being a cry baby you slave",2
"As a Muslim I was raised to believe that Muslims are superior to nonMuslims, that women are subordinate to men, that Jews are apes and pigs, and that gay ppl are immoral and deserve to be killed. I will spend my life speaking against those teachings that inflict harm on humanity",3
I wAnT a FeMaLe dOcToR tO TrEaT mY wIfE. But you don’t want Muslim women to go to school. ,2
Proud Hindu” seems to have no pride in the lost temples ravaged n looted by Muslim invaders. ,3
This is China. They have a ANTI-MUSLIM POLICE. They are literally treating human beings like animals to the slaughter,0
The never ending story of Grooming gang/ predominantly Pakistani Muslim child sex offenders MORE Arrests made in Rochdale,0
"You might not be Muslim, but Muslims dont follow your arbitrary rules.",2
"Muslim population in India has increased almost 200% in 40 years, Muslims in India are most advantaged and satisfied than Indians of other religious groups. They believe that there standard of living has increased and is getting better everyday!",1
He took the knee to BLM. Ignored the mass exploitation of young girls by Pakistani pedo gangs. Why would you not think he d support a Muslim whore who thought that the Manchester bombing of young kids at a concert was justified!,2
"Muslim rape Mannequin in Mall. They rape human, animals, ...... even Mannequin....  anything left ?",3
"India govt ""honored"" the Muslim who burnt an old and prestigious university. They now included Islamist @Malala in textbook
Why Islamic terrorists, murderer, rapists are honored ??? 
'Muslim appeasement' will kill non-Muslims",3
"USA rescued this Mu$lim woman from Somalia and provided new home House building. In return, she is asking to dismantle USA Flag of United States 
You help Mu$lims ... But they only pray for your ruin",2
"The comedians, who have been insulting Hindus, don't insult Muslims in Hindustan.
Ask these comedians to make fun of Islam on stage.",2
They have come to save the comedians now caz they know the comedians are mocking hindu God's not on their profit mohabbat,3
"Most muslims in the UK, first generation and onwards have moved on from the conservative culture that our parents bought with them. I want you to come to the streets of east london and actually see these ‘terrorist’ muslim youths for yourself, then come back to me.",3
"I don’t know about you but western Muslims are the most annoying people god has ever created. Like wow, y’all aren’t in the Middle East and still manage to give us headaches.",2
I want to post this everywhere honestly. It’s as if they need to prove their Muslim-ness in extreme ways!!,2
Halal is animal cruelty plain and simple and should be banned. #banislam,3
What do you expect from a Muslim? #jihad #jihadi #jihadimayor #SadiqKhan #BanIslam,3
Muslim men should also cover their faces if they expect women to cover themselves. Why a woman would want his men to be seen by other women? Muslim men should also wear burka.,2
Where was your souls when kids n infants were barbarically genitally mutilated by Islamic practice of khatna sunnat?? We're they eating Biriyani??,3
"What will the Democrat mayor of Minneapolis do now that Muslim groups just said they plan to ""police Minneapolis under Muslim rule""?",2
"These Muslims will get their asses kicked. Sharia is not recognized in the United States. If they think they’re going to get away with it, they’re in for a surprise.",2
"I called this, didn’t I?
1. Coronavirus. LGBT felt neglected.
2. SCOTUS decision reminded us “They’re queer, and they’re still here!” Muslims felt neglected.
3. Nationwide protests. Rioting & defund police movement.
4. Muslims see an opportunity…",2
We should work hard to control lsIam virus.,3
Muslims of Pakistan. We don't hate all. When we say Muslims it means Muslims of Pakistan.,0
Islam is the root of all evil and we should try to fight it now or these muslims will takeover our world.,3
The earliest and holiest sites in Christianity are within the Muslim world. The birth place of Jesus (as) Is a modern day Arab Muslim town. Had Muslims been intolerant these sites would’ve been converted long ago.,1
UK: ‘The invasion continues’ as 90 more illegal Muslim boat migrants arrive,0
"Here,in India, we have 90'000 Rohingya intruders in just one state Kashmir in the last 10 years where locals (Muslim majority population) fully supported them to get citizenship of India.",0
"Serious question: Do you know of any Indian comedian who has made fun of Islam or Mohammed, and not Hindu dharma and its icons? #standup",0
"This guy is bold and honest. But even he says that one jokes about Muslims sometimes, but never Islam. One wants to live.",2
Anupam ji avoid indulging with a wife murderer in any capacity. It doesn't suits you.. Jai Shree Ram.,0
Remembering Shri #PVNarasimhaRao perhaps the only good congressi PM for his silent support during demolition of Babri Masjid,2
"Ab vocal for local k sath sath... Sirf sanatan walon s e saaman lenge, unke e auto, cab book karenge, santan delievry waale",0
America's WSJ quoted Ankit Sharma's brother Ankur saying that people who killed Ankit were chanting JAI SHREE RAM,0
"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.",0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,2
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,0
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",0
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",3
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,3
"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",0
Don't the Moslem's Holy books say 'kill infidels wherever they may be hiding'.,3
Muslims are the ones who invented the slave trade.,2
Muslims are the ones who invented the slave trade.,2
"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",3
"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.",3
"Islam is not a peaceful religion and does not produce the best of men. It denounces women and encourages crimes. Criminals are not all of a certain race or religion, but one race and religion produces criminals.",3
The world would be a better place without Muslims. They are only killing and raping our children.,3
"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed to enter. English laws persecute us instead of defending us, English people.",1
"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",3
