email,category
reviewed by mark williams svp risk management citizens power the long awaited second edition of managing energy price risk has finally arrived it has been four years since the first edition was published during this hiatus a lot has happened as risk management within the rapidly expanding energy industry has come of age as a respected discipline the second edition is a rich compilation of papers by a surprisingly representative group of industry leaders practitioners and academics the books strength is that it reinforces the fact that risk management principles initially applied to a narrow band of energy commodities can and should be applied across a wide array of energy commodities including electricity as expected the book does a solid job in capturing an international perspective on the various challenges which are not isolated to any one continent but are global in scope it includes a lengthy introduction that effectively frames risk management progress advancements and innovations that started in the oil markets in the s and migrated to the natural gas and most recently expanding to the electricity industry managing energy price risk is comprised of chapters all of which include an introduction which minimises the disjointedness that you may expect from a book written by a large number of authors other improvements in this second edition include expanded graphics highlighted panels detailed appendices and a separate glossary which provides the reader with additional reference material in particular the chapter on energy options written by michael hampton is a useful primer and provides the reader with a concise explanation of option theory pricing basis risk delta hedging as well as practical guidelines for distinguishing between hedging and pure speculation for the more advanced reader the chapter on energy exotic options written by vince kaminski stinson gibner and krishnarao pinnamaneni is particularly strong as it outlines the challenges associated with the exotics and effectively documents the latest methods used by leading practitioners in pricing such instruments additionally the chapter on accounting for derivative contracts in the energy environment by three consultants from arthur anderson is a well written summary which addresses the numerous tax related issues including a timely discussion on the us financial accounting standards board s statement see eprm october page having this tax information housed in one concise chapter is of great value the second edition however is not without flaws in particular it would have been useful to have more information on the current challenges risk managers are confronted with in the power industry including latest advancements in volatility and correlation estimation techniques additional attention could have also been placed on the shortcomings of the current market structure and methods in finding and applying appropriate hedging strategies and instruments in the fledgling power market this continues to be one of the primary challenges in summary this second edition of managing energy price risk builds upon the sentinel work laid out in the prior edition and is a valuable reference book for the new recruit or seasoned veteran it is a welcome edition to any risk management library,0
definitely thursday or friday just let me know so that i don t leave and lock it up kaye ellis pm to sara shackleton hou ect ect cc subject think pad felix came by to do the replication on your think pad he said it will take at least hr to do it is it ok if he does it thurs or fri your schedule is pretty busy tomorrow the only time i see available tomorrow is maybe a a i m sure it will be hard for you to talk on the phone even for min with felix in your office all he needs is your passwords,0
little bird tells me that i may be lunching with you two at the seasons today is that right,0
sounds good cameron sellers cameron perfect com pm to jeff dasovich enron com jeff dasovich enron com cc subject re fw enron demo recap how about we do dinner together pesto cameron sellers vice president business development perfect embarcadero road suite palo alto ca cameron perfect com direct dial cell fax original message from jeff dasovich enron com mailto jeff dasovich enron com sent wednesday june am to cameron sellers subject re fw enron demo recap sounds good let s catch up tomorrow nite best jeff cameron sellers to jeff dasovich enron com cameron perf jeff dasovich enron com ect com cc subject re fw enron demo recap  pm i totally understand it sounds exciting though i can t wait to hear the details i am with renee tonight but i will be home tomorrow night why don t we talk then good luck with everything c cameron sellers vice president business development perfect embarcadero road suite palo alto ca cameron perfect com direct dial cell fax original message from jeff dasovich enron com mailto jeff dasovich enron com sent wednesday june am to cameron sellers subject re fw enron demo recap file image jpg hi i am completely buried this is is blown i ll be in town tonite and tomorrow nite and we can discuss more then if you like just let me know best jeff cameron sellers to jeff dasovich enron com cameron perf jeff dasovich enron com ect com cc subject fw enron demo recap  pm hope you guys had a wonderful weekend at the dome is the deck completely finished now vegas was awesome of course i ended up a couple hundred or so craps was king on the business side we must close this deal with enron this is so important for us it looks like things really went well and they have our pilot proposal is there anything you can do anything to get to someone who is a part of this group and just say random great things about us or help move it forward we have to close two deals before the next board meeting weeks out or we have to downsize again it won t be pretty is there anyone you know or who might know someone to help this out maybe you get lay to put a little pressure on ha back to the personal pp wanted to have a steak dinner to try out the knives early this week how about tomorrow night i ll make a nice mushroom sauce cameron sellers vice president business development perfect embarcadero road suite palo alto ca cameron perfect com direct dial cell fax original message from ian sullivan sent friday june am to cameron sellers subject fw enron demo recap fyi on the enron mtg i ll catch up with jeff early next week talk to him about the mtg and strategize on next steps i think we have a legitimate chance to do something with this group at enron and need to assess where jeff can help without complicating the decision making process in the near term original message from david young subject enron demo recap here s a recap of our demo meeting with enron s global strategic sourcing group on tuesday demo went well in attendance for perfect were ian james m and david y enron s attendees were john gillespie sr director gss platforms processes decision maker pam tragesser gss operations mgr asst to derryl c sr dir gss operations john will director sourcing pipe valves fittings craig brown director sourcing chemicals oils lubricants shirley jo dickens wilson enron transportation services procurement mgr eugene ribaudo enron energy services procurement mgr ibuyit com team lead ken sommers enron energy services procurement mgr despite only having hour to present ian competently ran through a company and feature overview then blasted through a demo of ps and ppd we did not get to show pi they all bought in that this was a sophisticated sourcing tool that it followed their processes and would help streamline their operation only negatives we heard was that the m price tag was a show stopper and that they were trying to minimize rfqs and focus on release against agreements with revs at over b and a spend to match that their roi would be tremendous shirley jo said that her primary use of this system would be for any purchase over k which requires bids she does not feel that she has enough of these events to justify implementation in her ets group their current processes are basically pen paper phone and fax they do use rfq templates and excel spreadsheets they also model total cost of ownership evaluating the total lifecycle of materials they are using their homegrown auction platform dealbench and were trying to compare this against our system their transaction fees for using the dealbench system are minor so our pricing looks high but that would be comparing apples against oranges i will address this in the cover letter on the pilot proposal we will send questions that came up included what is the difference between maverick spend in procurement vs sourcing ian responded perfect reduces maverick spend during the sourcing cycle by standardizing company best practices and providing visibility accountability of vendor selection criteria how does the optimization calculation work ian gave basic explanation of input variables and ranking scoring don t feel we need to elaborate on this at this point possibly in future can we utilize a hands on demo to play with the system we suggested a pilot but also said that it might be possible to work something out over webex just to test drive a little more before moving into a pilot we agreed that the next step is for us to send a pilot proposal and they will get together either friday or sometime next week to review the proposal discuss their opinions and determine the next step  i sent the pilot proposal and cover letter out today by email after final approval by ian i will followup on monday to find out what their evaluation gameplan is and to suggest meetings so that we can get roi inputs to allow james to workup an roi proposal david m young manager enterprise sales perfect commerce inc embarcadero rd suite palo alto ca tel email dyoung perfect com sourcing the identification evaluation negotiation and configuration of supply partners is the single largest opportunity for an organization to impact the cost structure and overall efficiency of its supply chain aberdeen group inc see attached file image jpg,0
i will be out of town that day a meeting i can t move please continue to let me know about future meetings lora sullivan enron pm to steven j kean hou ees ees steven j kean hou ees ees terence h thorn enron development enron development hap boyd ewc enron enron john ambler enron development enron development jose bestard enron development enron development rob bradley corp enron enron aleck dadson tor ect ect carolyn green hou azurix azurix chris long corp enron enron mac mcclelland enron development enron development david merrill enron development enron development peter styles lon ect ect scott bolton enron communications enron communications cc rcfisher hillsandco com subject meeting of the energy services coalition esc enron task force houston tx friday enron task force member at the call of joe hillings we plan to hold a meeting of the esc enron task force in houston on friday from am until noon we would like to have dinner at a houston restaurant on pm if you are able to attend all or part of the meeting please advise details on dinner and enron building room location to follow joe hillings   rsvp to lora sullivan john ambler jose bestard scott bolton hap boyd rob bradley yes aleck dadson carolyn green chris long mac mcclelland david merrill peter styles terry thorn cc bob fisher would you be available to attend this meeting ejh,0
greetings ok i know i must be doing something wrong i either get a wrong sap number or i end up on the hronline website with no clickathomepilot options i m using my hronline password any suggestions thanks kay,0
irena my wife s name is kathleen,0
here are the descriptions for power forwarded by tana jones hou ect on pm  leslie hansen am to tana jones hou ect ect cc subject re enron online market descriptions tana attached please find a copy of the e mail i sent to awais re the market descriptions leslie forwarded by leslie hansen hou ect on am leslie hansen pm to awais omar lon ect ect cc subject re enron online market descriptions awais attached please find my proposed revisions to the east and west power online market descriptions i have revised the first section background of each document from an editorial perspective the remaining changes are intended to correct inaccuracies in the documents i ve spoken with allan aronowitz about the fact that it might be a good idea to include some general disclaimers relating to any projections or the like included in these descriptions and think that it would be an excellent idea to include such a disclaimer i have accordingly left in some forward looking type projections that i might otherwise recommend revising or deleting altogether if you do not intend to include any general disclaimers let me know so that i can further revise as necessary please feel free to call me at with any questions or comments relating to the attached regards leslie hansen,0
gentlemen the esa docs are being reviewed internally for financing and accounting issues thanks for turning the docs in such a timely manner coa is on stand by due to our need to focus on esa and two new identical contracts remember we have a lot of turbines the next two up are the ones previously destined for cal iso i believe units these units also have the dual fuel options included so the base prices of each will be increased appropriately we will pay of the price prior to signing the facility agreement and the january payment will be increased by of the cost of the dual fuel option the turbines will be assigned to two sister delaware llcs ca energy development i llc and ca energy development ii llc use ben jacoby at smith houston for notices and invoices for purposes of the draft we don t have any of the specifics on the site conditions so we will have to work with generics we would like to have a draft yesterday but seeing as that is impossible please advise when you think it can be ready thanks again and again kay,0
hi please add of tolls for each day that i went to sac this week thanks jeff,0
